127.0.0.1 - - [05/Sep/2022:09:42:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Sep/2022:09:42:19 +0900] "GET /jspPortfolioModel1/index.jsp HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [05/Sep/2022:09:42:20 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=dashBoard_list HTTP/1.1" 200 5541
0:0:0:0:0:0:0:1 - - [05/Sep/2022:09:42:20 +0900] "GET /jspPortfolioModel1/img/user.png HTTP/1.1" 200 9370
0:0:0:0:0:0:0:1 - - [05/Sep/2022:09:42:20 +0900] "GET /jspPortfolioModel1/img/lock.png HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [05/Sep/2022:09:42:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:00:03 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_list HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:00:05 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:00:09 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:00:13 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_list HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:00:15 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:02:44 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart HTTP/1.1" 200 3951
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:05:05 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:05:08 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:05:09 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart3d HTTP/1.1" 200 3934
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:05:09 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:05:11 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart3d HTTP/1.1" 200 3934
0:0:0:0:0:0:0:1 - - [05/Sep/2022:10:05:20 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=chart_examPiechart3d HTTP/1.1" 200 3936
