127.0.0.1 - - [13/Sep/2022:09:12:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:12:58 +0900] "GET /jspPortfolioModel1/index.jsp HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:12:58 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=dashBoard_list HTTP/1.1" 200 5726
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:12:58 +0900] "GET /jspPortfolioModel1/img/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:12:58 +0900] "GET /jspPortfolioModel1/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:12:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:13:08 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=subBoard_list HTTP/1.1" 200 9370
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:13:08 +0900] "GET /jspPortfolioModel1/img/double_right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:13:08 +0900] "GET /jspPortfolioModel1/img/right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:13:09 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=subBoard_view&no=200&searchField=&searchWord= HTTP/1.1" 200 5844
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:13:09 +0900] "POST /jspPortfolioModel1/subBoard/commentList.jsp HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:27:02 +0900] "POST /jspPortfolioModel1/subBoard/commentInsertProc.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:27:02 +0900] "POST /jspPortfolioModel1/subBoard/commentList.jsp HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:27:11 +0900] "POST /jspPortfolioModel1/subBoard/commentInsertProc.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:27:11 +0900] "POST /jspPortfolioModel1/subBoard/commentList.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:27:20 +0900] "POST /jspPortfolioModel1/subBoard/commentInsertProc.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:27:20 +0900] "POST /jspPortfolioModel1/subBoard/commentList.jsp HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:28:39 +0900] "POST /jspPortfolioModel1/subBoard/commentInsertProc.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [13/Sep/2022:09:28:39 +0900] "POST /jspPortfolioModel1/subBoard/commentList.jsp HTTP/1.1" 200 3197
