0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:25:34 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2833
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:25:59 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 500 2831
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:30:30 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:30:30 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/5ae93631-2efc-4780-9961-a77f1f57fdfb.png HTTP/1.1" 200 283333
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:30:30 +0900] "GET /jspPortfolioModel1/img/image_not_supported.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:30:30 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/e714c944-e69e-4179-b3c0-8464f2171655.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:30:30 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/b83e56e0-eedf-4dea-8ba6-2ac03e0307ed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:30:35 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=10 HTTP/1.1" 500 2793
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:33:23 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_list HTTP/1.1" 200 5497
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:33:23 +0900] "GET /jspPortfolioModel1/attach/jspPortfolioModel1/product/5ae93631-2efc-4780-9961-a77f1f57fdfb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:33:25 +0900] "GET /jspPortfolioModel1/main/main.jsp?menuGubun=shopMall_view&productCode=10 HTTP/1.1" 200 5693
